league_id,conference_id,conference_name,conference_full_name
1,101,AL, American League
1,102,NL, National League
2,201,Eastern, Eastern Conference
2,202,Western, Western Conference
3,301,Eastern, Eastern Conference
3,302,Western, Western Conference
4,401,AFC, American Football Conference
4,402,NFC, National Football Conference
5,501,Eastern, Eastern Conference
5,502,Western, Western Conference
6,601,Eastern, Eastern Conference
6,602,Western, Western Conference
7,701,IPL,India Premier League
